"Название Услуги","Ориентировочная Стоимость","Срок Исполнения","Размер Предоплаты"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","9991281","310","3330427"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","9892788","93","4946394"
"251320525167778322","телефония","2699992","45","899997"
"-4590959470529102714","создание виртуального офиса","3278408","159","1092802"
"-6289304117607109823","организация резервного копирования","3976646","95","1988323"
"2965058785176708706","администрирование сетей и серверов","2558353","327","852784"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5831064","16","2915532"
"2994302052304582332","веб-разработка","732770","172","244256"
"-2038546902307346515","создание мобильных систем","9729076","328","3243025"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","2105721","63","701907"
"2469142237839591980","организацию антивирусной защиты","3688954","205","1229651"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","3329875","213","1664937"
"-3680269178049521279","организация систем видеонаблюдения","5288865","86","1762955"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","2458476","155","1229238"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5455886","84","2727943"
"251320525167778322","телефония","567572","130","189190"
"-4590959470529102714","создание виртуального офиса","169166","265","84583"
"-6289304117607109823","организация резервного копирования","459818","83","229909"
"2965058785176708706","администрирование сетей и серверов","1004893","30","502446"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","736985","111","245661"
"2994302052304582332","веб-разработка","6261398","143","2087132"
"-2038546902307346515","создание мобильных систем","6751018","71","3375509"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","704854","189","234951"
"2469142237839591980","организацию антивирусной защиты","1643287","280","821643"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4938035","92","2469017"
"-3680269178049521279","организация систем видеонаблюдения","1527930","316","763965"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5367303","239","2683651"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","1681200","158","840600"
"251320525167778322","телефония","6741856","88","3370928"
"-4590959470529102714","создание виртуального офиса","8972436","94","2990812"
"-6289304117607109823","организация резервного копирования","2758087","22","919362"
"2965058785176708706","администрирование сетей и серверов","7873117","66","3936558"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","7349976","332","3674988"
"2994302052304582332","веб-разработка","2538298","105","1269149"
"-2038546902307346515","создание мобильных систем","3100496","143","1550248"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7284694","247","2428231"
"2469142237839591980","организацию антивирусной защиты","7388893","100","2462964"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8410670","106","2803556"
"-3680269178049521279","организация систем видеонаблюдения","6562059","108","3281029"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","310529","364","155264"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5986997","178","2993498"
"251320525167778322","телефония","2181040","320","1090520"
"-4590959470529102714","создание виртуального офиса","1594244","143","531414"
"-6289304117607109823","организация резервного копирования","8499125","100","2833041"
"2965058785176708706","администрирование сетей и серверов","7055055","40","2351685"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","1643348","80","821674"
"2994302052304582332","веб-разработка","6839932","54","3419966"
"-2038546902307346515","создание мобильных систем","7180042","153","2393347"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","4222212","117","2111106"
"2469142237839591980","организацию антивирусной защиты","3459295","35","1729647"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","3496284","110","1748142"
"-3680269178049521279","организация систем видеонаблюдения","1765088","198","588362"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","7779832","310","3889916"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","2203454","343","734484"
"251320525167778322","телефония","3713639","156","1856819"
"-4590959470529102714","создание виртуального офиса","9086568","216","3028856"
"-6289304117607109823","организация резервного копирования","1251583","305","625791"
"2965058785176708706","администрирование сетей и серверов","4101539","214","1367179"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","4914601","295","1638200"
"2994302052304582332","веб-разработка","9016370","229","4508185"
"-2038546902307346515","создание мобильных систем","5602524","184","1867508"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","9845981","50","4922990"
"2469142237839591980","организацию антивирусной защиты","4336748","274","1445582"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8114323","35","4057161"
"-3680269178049521279","организация систем видеонаблюдения","4260421","111","2130210"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6376851","67","2125617"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5226697","42","1742232"
"251320525167778322","телефония","7765011","319","3882505"
"-4590959470529102714","создание виртуального офиса","2354434","349","1177217"
"-6289304117607109823","организация резервного копирования","4214077","44","1404692"
"2965058785176708706","администрирование сетей и серверов","2156123","240","1078061"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9108977","345","4554488"
"2994302052304582332","веб-разработка","8884148","154","4442074"
"-2038546902307346515","создание мобильных систем","3956800","114","1978400"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","7805295","86","3902647"
"2469142237839591980","организацию антивирусной защиты","6754196","148","3377098"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","8301683","62","4150841"
"-3680269178049521279","организация систем видеонаблюдения","9946051","148","3315350"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","6445751","350","3222875"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","264111","298","88037"
"251320525167778322","телефония","1662192","239","554064"
"-4590959470529102714","создание виртуального офиса","1768274","320","884137"
"-6289304117607109823","организация резервного копирования","7399391","170","3699695"
"2965058785176708706","администрирование сетей и серверов","6767823","352","2255941"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9957785","65","3319261"
"2994302052304582332","веб-разработка","7812175","99","3906087"
"-2038546902307346515","создание мобильных систем","8514167","162","2838055"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","6446212","192","3223106"
"2469142237839591980","организацию антивирусной защиты","578395","270","192798"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","2445103","168","1222551"
"-3680269178049521279","организация систем видеонаблюдения","5421902","38","1807300"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","8075882","47","4037941"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","3518081","113","1172693"
"251320525167778322","телефония","2029400","110","1014700"
"-4590959470529102714","создание виртуального офиса","8475264","147","2825088"
"-6289304117607109823","организация резервного копирования","3905011","263","1301670"
"2965058785176708706","администрирование сетей и серверов","7347546","64","2449182"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","9895702","269","4947851"
"2994302052304582332","веб-разработка","7739878","313","3869939"
"-2038546902307346515","создание мобильных систем","5645266","281","2822633"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5264825","52","1754941"
"2469142237839591980","организацию антивирусной защиты","7036436","254","2345478"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4217931","335","1405977"
"-3680269178049521279","организация систем видеонаблюдения","1621190","212","810595"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","5374294","200","2687147"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","8710237","279","4355118"
"251320525167778322","телефония","7639167","270","3819583"
"-4590959470529102714","создание виртуального офиса","253858","97","84619"
"-6289304117607109823","организация резервного копирования","3811282","320","1270427"
"2965058785176708706","администрирование сетей и серверов","6937423","55","2312474"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5656869","334","1885623"
"2994302052304582332","веб-разработка","4470229","316","1490076"
"-2038546902307346515","создание мобильных систем","4936439","158","1645479"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","5796792","288","1932264"
"2469142237839591980","организацию антивирусной защиты","7567111","233","2522370"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","4739227","30","2369613"
"-3680269178049521279","организация систем видеонаблюдения","6309438","225","2103146"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","1771216","120","590405"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","5331081","164","1777027"
"251320525167778322","телефония","9135039","202","4567519"
"-4590959470529102714","создание виртуального офиса","3411114","111","1705557"
"-6289304117607109823","организация резервного копирования","7515763","349","2505254"
"2965058785176708706","администрирование сетей и серверов","1600763","358","533587"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","4231851","245","1410617"
"2994302052304582332","веб-разработка","3534482","63","1178160"
"-2038546902307346515","создание мобильных систем","1848153","360","924076"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3173671","227","1586835"
"2469142237839591980","организацию антивирусной защиты","2877390","70","1438695"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","5921820","126","1973940"
"-3680269178049521279","организация систем видеонаблюдения","1252724","363","417574"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","8089131","270","2696377"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","3203336","42","1601668"
"251320525167778322","телефония","5176261","282","2588130"
"-4590959470529102714","создание виртуального офиса","6183270","15","2061090"
"-6289304117607109823","организация резервного копирования","436257","142","218128"
"2965058785176708706","администрирование сетей и серверов","9196437","357","3065479"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","5228605","229","2614302"
"2994302052304582332","веб-разработка","2740924","25","1370462"
"-2038546902307346515","создание мобильных систем","6672057","258","3336028"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3539956","250","1769978"
"2469142237839591980","организацию антивирусной защиты","4629231","189","2314615"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","9544170","203","3181390"
"-3680269178049521279","организация систем видеонаблюдения","7679656","236","3839828"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","2951346","152","1475673"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6877534","192","2292511"
"251320525167778322","телефония","8294116","46","2764705"
"-4590959470529102714","создание виртуального офиса","1424090","26","474696"
"-6289304117607109823","организация резервного копирования","1826392","296","608797"
"2965058785176708706","администрирование сетей и серверов","357834","272","178917"
"2848109590184005075","техническая поддержка рабочих станций и ИТ сервисов","1587991","265","529330"
"2994302052304582332","веб-разработка","4017410","326","2008705"
"-2038546902307346515","создание мобильных систем","4153038","346","2076519"
"-8328464258147580553","создание и обслуживание систем контроля доступа к портам и устройствам","3320018","60","1106672"
"2469142237839591980","организацию антивирусной защиты","6852418","55","2284139"
"2616570928961448323","решения касающиеся сетевой безопасности и отражения угроз","2005843","194","1002921"
"-3680269178049521279","организация систем видеонаблюдения","1753098","265","584366"
"2516008887899560551","построение и обслуживание структурированных кабельных систем (СКС)","3953332","118","1976666"
"-7969534644400923505","создание и поддержка интеллектуальных медиасистем","6115860","273","2038620"
"251320525167778322","телефония","8735943","286","4367971"
"-4590959470529102714","создание виртуального офиса","5929337","100","2964668"
"-6289304117607109823","организация резервного копирования","6945872","118","2315290"
